nu_fit,I_fit,I_fitted
250000000000000.0,4.0978193e-08,-0.0
251000000000000.0,4.4703484e-08,-0.0
252000000000000.0,4.0978193e-08,-0.0
253000000000000.0,5.2154064e-08,-0.0
254000000000000.0,4.0978193e-08,-0.0
255000000000000.0,4.4703484e-08,-0.0
256000000000000.0,4.0978193e-08,-0.0
257000000000000.0,4.4703484e-08,-0.0
258000000000000.0,4.4703484e-08,-0.0
259000000000000.0,4.4703484e-08,-0.0
260000000000000.0,4.4703484e-08,-0.0
261000000000000.0,4.8428774e-08,-0.0
262000000000000.0,4.4703484e-08,-0.0
263000000000000.0,4.4703484e-08,-0.0
264000000000000.0,4.4703484e-08,-0.0
265000000000000.0,4.4703484e-08,-0.0
266000000000000.0,4.8428774e-08,-0.0
267000000000000.0,4.4703484e-08,-0.0
268000000000000.0,4.4703484e-08,-0.0
269000000000000.0,4.4703484e-08,-0.0
270000000000000.0,4.4703484e-08,-0.0
271000000000000.0,4.4703484e-08,-0.0
272000000000000.0,4.4703484e-08,-0.0
273000000000000.0,4.4703484e-08,-0.0
274000000000000.0,5.2154064e-08,-0.0
275000000000000.0,4.4703484e-08,-0.0
276000000000000.0,4.4703484e-08,-0.0
277000000000000.0,4.4703484e-08,-0.0
278000000000000.0,4.8428774e-08,-0.0
279000000000000.0,4.8428774e-08,-0.0
280000000000000.0,4.4703484e-08,-0.0
281000000000000.0,4.4703484e-08,-0.0
282000000000000.0,4.4703484e-08,-0.0
283000000000000.0,4.4703484e-08,-0.0
284000000000000.0,4.4703484e-08,-0.0
285000000000000.0,4.4703484e-08,-0.0
286000000000000.0,4.4703484e-08,-0.0
287000000000000.0,4.4703484e-08,-0.0
288000000000000.0,4.4703484e-08,-0.0
289000000000000.0,4.4703484e-08,-0.0
290000000000000.0,4.4703484e-08,-0.0
291000000000000.0,4.4703484e-08,-0.0
292000000000000.0,4.4703484e-08,-0.0
293000000000000.0,4.0978193e-08,-0.0
294000000000000.0,4.4703484e-08,-0.0
295000000000000.0,4.4703484e-08,-0.0
296000000000000.0,4.4703484e-08,-0.0
297000000000000.0,4.4703484e-08,-0.0
298000000000000.0,4.4703484e-08,-0.0
299000000000000.0,4.4703484e-08,-0.0
300000000000000.0,4.4703484e-08,-0.0
301000000000000.0,4.4703484e-08,-0.0
302000000000000.0,158768.42,158767.9094140044
303000000000000.0,1158768.2,1158767.932417343
304000000000000.0,2158768.5,2158767.9554206813
305000000000000.0,3158768.5,3158767.97842402
306000000000000.0,4158768.0,4158768.0014273585
307000000000000.0,5158768.5,5158768.024430697
308000000000000.0,6158768.0,6158768.047434036
309000000000000.0,7158769.0,7158768.070437374
310000000000000.0,8158768.5,8158768.093440712
311000000000000.0,9158767.0,9158768.116444051
312000000000000.0,10158768.0,10158768.13944739
313000000000000.0,11158768.0,11158768.162450729
314000000000000.0,12158767.0,12158768.185454067
315000000000000.0,13158768.0,13158768.208457405
316000000000000.0,14158768.0,14158768.231460743
317000000000000.0,15158767.0,15158768.254464082
318000000000000.0,16158768.0,16158768.27746742
319000000000000.0,17158768.0,17158768.30047076
320000000000000.0,18158768.0,18158768.323474098
321000000000000.0,19158768.0,19158768.346477438
322000000000000.0,20158768.0,20158768.369480774
323000000000000.0,21158766.0,21158768.392484114
324000000000000.0,22158766.0,22158768.415487453
325000000000000.0,23158764.0,23158768.43849079
326000000000000.0,24158768.0,24158768.46149413
327000000000000.0,25158768.0,25158768.48449747
328000000000000.0,26158768.0,26158768.507500805
329000000000000.0,27158768.0,27158768.530504145
330000000000000.0,28158770.0,28158768.553507484
